aspect_list,original_aspect_list,temperature,generated_tempo_tags,generated_genre_tags,generated_mood_tags,generated_instrument_tags,id
"['eerie', 'electronic drums', 'electronic music', 'emotional', 'intense', 'no percussion', 'no voices', 'piano', 'slow tempo']","['folk', 'energetic', 'drums', 'violin', 'piano']",1.25,['slow tempo'],['electronic music'],"['eerie', 'intense', 'emotional']","['no voices', 'no percussion', 'electronic drums']",79b6b61be57bc6150b55de56a37a902b
"['ambient', 'emotional', 'energetic', 'flat male vocal', 'fun', 'groovy piano chords', 'passionate', 'sentimental']",[],2.0,['groovy piano chords'],['ambient'],"['passionate', 'emotional', 'fun', 'sentimental', 'energetic']",['flat male vocal'],3165e4eb49da710101620655fd73916e
"['bass', 'calming', 'classical', 'flat male vocal', 'moderate tempo', 'no voice', 'no voices', 'passionate', 'percussion', 'slow tempo', 'uptempo']","['dance', 'happy', 'piano']",0.75,"['uptempo', 'slow tempo', 'moderate tempo']",['classical'],"['passionate', 'calming']","['flat male vocal', 'no voice', 'no voices', 'bass', 'percussion']",794c539355d23a6f9919b3c051e94ea9
"['aggressive', 'beatboxing', 'dark', 'dramatic', 'electronic', 'electronic drums', 'energetic', 'groovy', 'harsh', 'punchy kick', 'uptempo']","['electronic', 'emotional', 'piano', 'classical']",1.0,"['beatboxing', 'groovy', 'uptempo']",[],"['harsh', 'dramatic', 'dark', 'aggressive', 'energetic']","['electronic drums', 'punchy kick']",d4a79b3fd0032838f04b0334b5c0af73
"['beatboxing', 'emotional', 'male vocal', 'passionate', 'pop', 'punchy kick', 'slow tempo']","['happy', 'pop', 'folk', 'guitar']",1.5,"['beatboxing', 'slow tempo']",[],"['passionate', 'emotional']","['punchy kick', 'male vocal']",db79b15385e7d5cb29ccc81a7d481d75
"['calming', 'classical', 'emotional', 'medium tempo', 'passionate', 'piano', 'slow tempo', 'slower to medium tempo']","['bass', 'guitar', 'classical', 'emotional', 'jazz', 'piano']",0.5,"['slow tempo', 'medium tempo', 'slower to medium tempo']",[],"['emotional', 'calming', 'passionate']",[],2520ba8f122ec7bd70a43542259a0939
"['emotional', 'folk song', 'happy mood', 'heavy metal', 'male voice', 'moderate tempo', 'no percussion', 'no voices']","['jazz', 'funk', 'guitar']",0.75,['moderate tempo'],['folk song'],"['happy mood', 'heavy metal', 'emotional']","['no percussion', 'no voices', 'male voice']",2c5ba8d6942d92b2ff5500a34c1d4317
"['ambient', 'calming', 'cello', 'digital drums', 'meditative', 'medium tempo', 'passionate female vocal']","['ambient', 'emotional', 'pop', 'keyboard']",1.0,['medium tempo'],[],"['meditative', 'calming']","['passionate female vocal', 'digital drums', 'cello']",608a7f9397055456fd41e3e625b961cd
"['calming', 'flute', 'hip hop', 'slow tempo']","['dance', 'happy', 'drums']",1.25,['slow tempo'],['hip hop'],['calming'],['flute'],26f52b98d2795b770a285d9e9cbe33d1
"['aggressive', 'drums', 'fast tempo', 'happy mood', 'house']","['energetic', 'drums', 'bass', 'electronic', 'house']",1.25,['fast tempo'],[],"['aggressive', 'happy mood']",[],a7c2af8254286bf5cdb8e419467899f3
"['classical', 'fast tempo', 'flat male vocal', 'happy', 'uptempo']","['ambient', 'happy', 'guitar']",1.25,"['uptempo', 'fast tempo']",['classical'],['happy'],['flat male vocal'],6c8f4c0eb5ad1e3769e984c6480ae76a
"['classical music', 'electric guitar', 'emotional', 'folk music', 'melancholic', 'passionate', 'slow tempo', 'violin']","['happy', 'folk', 'guitar']",1.25,['slow tempo'],"['classical music', 'folk music']","['passionate', 'melancholic', 'emotional']","['violin', 'electric guitar']",a2652e8d757e811016e090cb279b4074
"['classical', 'harsh', 'moderate tempo', 'no voices', 'piano']","['electronic', 'funk', 'guitar']",1.5,['moderate tempo'],['classical'],['harsh'],"['no voices', 'piano']",7f87cea3a34c1d4eb4dd56ad2f9b2e8f
"['electric guitar', 'electronic', 'energetic', 'uptempo']","['electronic', 'happy', 'pop', 'piano']",2.0,['uptempo'],[],['energetic'],['electric guitar'],714d0be82aba7575350ceff813cbf32c
"['calming', 'hypnotic', 'no voices', 'slow tempo', 'suspenseful', 'trance', 'uptempo']","['energetic', 'drums', 'electronic', 'trance', 'house']",2.0,"['slow tempo', 'uptempo']",[],"['hypnotic', 'suspenseful', 'calming']",['no voices'],54e1da64cb4693f2134a2f5d3ba135ef
"['fun', 'groovy', 'guitar', 'pop', 'slow tempo', 'strings']","['pop', 'bass', 'funk', 'rock']",2.0,"['groovy', 'slow tempo']",[],['fun'],"['guitar', 'strings']",eeb5d41808b1c5cf41cc560493187cc2
"['bass', 'electro pop', 'moderate tempo', 'no voices', 'passionate']",[],2.0,['moderate tempo'],['electro pop'],['passionate'],"['no voices', 'bass']",82775d66890fc3927bf2e568c98a292a
"['acoustic guitar', 'calming', 'flat male vocal', 'male voice singing', 'pop', 'strings', 'uptempo']","['dance', 'drums', 'pop', 'energetic']",1.0,['uptempo'],[],['calming'],"['strings', 'flat male vocal', 'acoustic guitar', 'male voice singing']",e7590b6719fb26f2cced5c9d56d487e6
"['bass guitar', 'classical music', 'flat male vocal', 'male voice', 'mellow', 'moderate tempo']","['jazz', 'funk', 'piano']",2.0,['moderate tempo'],['classical music'],['mellow'],"['male voice', 'flat male vocal', 'bass guitar']",b9f7d1eba87d9a6bea761658a6d9d759
"['chaotic', 'dance', 'drums', 'electric guitar', 'electronic music', 'energetic', 'epic', 'fast tempo', 'medium to uptempo', 'mysterious', 'uptempo']","['drums', 'jazz', 'bass', 'funk']",0.75,"['medium to uptempo', 'fast tempo', 'uptempo']","['electronic music', 'dance']","['chaotic', 'energetic', 'epic', 'mysterious']",['electric guitar'],84d03811f11034ba65080d0a39ade14f
