ytid,start_s,end_s,audioset_positive_labels,aspect_list,caption,author_id,is_balanced_subset,is_audioset_eval,filename,clap_score,fad_score
F7Y1T-rQ2JU,410,420,/m/0l14t7,"['educational recording', 'male voice', 'instructive speaking', 'german', 'instrumental', 'various singing bowls', 'meditation', 'calming']",This is an educational recording. There is a male voice speaking in an instructive manner regarding numerous singing bowls in different shapes and sizes. The player hits each singing bowl while describing their feelings. The sound of the bowls could be isolated from the voice for meditation music.,9,False,False,F7Y1T-rQ2JU.wav,0.38181957602500916,1.4614191199301665
hu6sChY-Yps,30,40,"/m/01hgjl,/m/04rlf,/m/07qb_dv","['low quality', 'dj scratching vinyl', 'hip hop', 'punchy snare', 'punchy kick', 'repetitive wooden percussive elements', 'shimmering hi hats', 'soft crash cymbal', 'muffled', 'energetic', 'manic']","The low quality recording features a DJ scratching the vinyl of a hip hop song that consists of punchy kick and snare, repetitive wooden percussive elements, shimmering hi hats and open hats and soft crash cymbals. It sounds manic, energetic and kind of muffled, since it was probably recorded with a poor quality microphone.",4,True,True,hu6sChY-Yps.wav,0.48759159445762634,1.4160425806998198
RFNRR78dh-8,80,90,"/m/04szw,/m/0dwsp,/m/0dwt5,/m/0l14md","['marimba', 'shaker', 'african feeling', 'tropical feeling', 'happy', 'positive', 'cheerful']","This is a fun, cheerful and positive song played on the marimba. Percussively, we heard a shaker and some hand tapping on a hard surface. The song creates a light mood and has an African vibe.",3,False,False,RFNRR78dh-8.wav,0.5161697268486023,1.0214681769370024
xyco-5DC_K8,30,40,"/m/015vgc,/m/02w4v,/m/04rlf,/m/04szw,/m/0jtg0","['instrumental', 'medium fast tempo', 'engaging', 'impactful', 'concert', 'indian clasical', 'carnatic music', 'south indian classical', 'flute harmony', 'violin', 'indian classical violin', 'ragas', 'kriti', 'tala', 'sruti', 'traditional indian music', 'south indian traditional music', 'happy', 'skilled', 'lively', 'wind instrument', 'string instrument', 'bowed string instrument', 'indian percussion instruments', 'classical ensemble', 'gadam rhythm', 'mridangam rhythm']","This music is an Indian Classical Instrumental. The tempo is medium fast with an ensemble of a lively violin, melodic flute and rhythmic accompaniment of the Indian percussion gadam and mridangam . The music uses ragas, talas and Sruti to form a harmony. It is classic, lively, rhythmic, engaging and enthralling.",7,True,True,xyco-5DC_K8.wav,0.6927654147148132,1.059358134364981
I5CBPhpimtg,30,40,"/m/0192l,/m/085jw","['irish-folk', 'djembe', 'bagpipe', 'uptempo', 'traditional']",Someone is playing a big djembe along to a fast paced melody in a higher register played on a bagpipe. This song may be playing during a traditional holiday in Ireland.,6,False,False,I5CBPhpimtg.wav,0.47443684935569763,1.030137672519583
Ztlcnd14Kn4,30,40,"/m/015lz1,/m/03lty,/m/04rlf,/m/05r6t,/m/05rwpb,/m/06by7,/m/0dl5d,/m/0dls3","['make singer', 'fast tempo', 'rock band', 'backup singers', 'vocal harmony', 'strong rock drumming', 'distorted guitar rhythm', 'guitar playing lead', 'tambourine percussions', 'cymbals crashing', 'emotional', 'romantic', 'groovy rhythm', 'high in adrenaline', 'passionate', 'spirited', 'retro rock hits', 'average audio quality']","A male singer sings this rock melody with backup singers in vocal harmony. The song is fast tempo with a strong drumming rhythm , percussive bass line, amplified guitar playing lead. The song is energetic and romantic. The song is a retro rock song with average audio quality.",1,False,True,Ztlcnd14Kn4.wav,0.5750115513801575,0.9720937157629912
LKurVRvkmKc,30,40,"/m/02w4v,/m/04rlf,/m/0jtg0","['oriental', 'meditative', 'zitar', 'percussive sounds', 'shrutibox', 'voices chanting', 'slow to medium tempo']",Someone is playing a melody on a zitar along with a shrutibox in the background. At the end male and female voices are chanting in the mid to high range and a percussive sound can be heard. This song may be playing live at a concert while meditating.,6,False,False,LKurVRvkmKc.wav,0.5413079261779785,1.0759219075201933
DP72GDe6AAs,18,28,"/m/04rlf,/m/07pjwq1","['2000s pop/synth-rock', 'drums', 'sound effects', 'synth pad sound', 'medium to uptempo']",This song contains a drum set playing a groove with an outstanding snare hit and hihats panned to the right side of the speakers. Synthesizer pad sounds are rising up in pitch to the mid range. The recording also contains something like a short sniffing sound used as part of the rhythm and sound effects. This song may be playing in a thriller-movie.,6,False,True,DP72GDe6AAs.wav,0.5374953746795654,1.213262751197714
Utl5it7YMUs,330,340,"/m/04rlf,/m/07s8j8t","['hard rock', 'male vocal', 'electric guitar', 'bass guitar', 'acoustic drums', 'groovy', 'raw', 'psychedelic']","This is a hard rock music piece. There is a male vocalist singing in the lead. The electric guitar is playing the main melody while a bass guitar plays in the background. The acoustic drums are playing a groovy rock beat. There is a raw,  psychedelic feel to this piece. It could be playing in the background of a rock bar.",9,False,True,Utl5it7YMUs.wav,0.6480571031570435,1.0372871900557463
nnUva-yCR08,120,130,"/m/04rlf,/m/07k1x,/m/08j51y","['buzzing saw machine', 'loud', 'noisy', 'mono', 'low quality', 'muffled rock music', 'tutorial']","The low quality recording features a loud, buzzing saw machine cutting wood. There is a muffled rock song playing in the background. The recording is mono and noisy. It sounds like it is a tutorial video.",4,False,True,nnUva-yCR08.wav,0.10009588301181793,1.4913973952292388
PE1ges9nn6A,90,100,"/m/04rlf,/t/dd00031","['female voice', 'drums', 'tambourine', 'bass guitar', 'synth sounds', 'electric guitar']",The music features a female voice singing a long note melody for the first half of the excerpt. The drums play a steady rhythm and together with the bass guitar and tambourine drive the pulse of the music. A synth sound is playing a wobbly melody.,2,False,True,PE1ges9nn6A.wav,0.4892158806324005,1.1337219620703642
qOTk01gmrRo,30,40,"/m/01hgjl,/m/04rlf","['dj', 'scratching', 'breakbeat', 'turntable', 'male vocal sample', 'electronic drums', 'strong bass', 'dance', 'groovy', 'urban']","This is a breakbeat from a DJ set performance. The DJ is using the turntable to repeat the male vocal sample and add the scratching effect. In the background, the electronic drums and a strong bass are providing the rhythmic background at a medium tempo. It has a groovy, urban atmosphere. This performance could be used in a crime movie or a TV show with an urban ghetto setting.",9,True,True,qOTk01gmrRo.wav,0.5193736553192139,1.2589418436049407
ROA6DMBPlNM,80,90,"/m/015vgc,/m/028sqc,/m/04rlf,/m/0ggq0m","['carnatic music', 'female singers', 'vocal harmony', 'guitar accompaniment', 'stringed instrument harmony', 'emotional', 'passionate', 'meditational', 'devotional', 'heartfelt', 'classical singing style', 'vocal duo', 'tamil devotional songs', 'prayers', 'flute countermelody', 'guitar accompaniment', 'stringed instrument countermelody', 'strong bass line', 'steady techno drumming rhythm']","Female singers sing this vocal in Tamil harmony. The song is medium tempo with a strong techno drumming rhythm, guitar accompaniment, stringed instrument accompaniment, flute countermelody, and a strong bass line. The song is devotional and highly passionate. The song is a Carnatic Hindu devotional song sung in Tamil.",1,False,False,ROA6DMBPlNM.wav,0.46466511487960815,0.9885306502341216
oNryELagQUM,20,30,"/m/04rlf,/t/dd00033","['female singer', 'lilting vocals', 'strong bass line', 'poor audio quality', 'country hits', 'diva', 'timeless hits', 'classic hits', 'emotional', 'romantic', 'life lessons', 'inspiring', 'motivational', 'loving', 'romantic', 'medium tempo', 'retro pop hits', 'diva', 'string section harmony', 'medium tempo']",A female singer sings this beautiful melody. The tempo is medium with a string section harmony and a strong bass line. The audio quality is poor. The song is a retro pop hit with inspiring and romantic vibes.,1,False,False,oNryELagQUM.wav,0.4740070700645447,0.9730526948927825
zw5dkiklbhE,15,25,"/m/01sm1g,/m/0l14md","['amateur recording', 'percussion', 'wooden bongo cajon']",This audio contains someone playing a wooden bongo cajon. This is an amateur recording.,6,False,False,zw5dkiklbhE.wav,0.34658294916152954,1.3524588490485137
I6eU2qRjJ7Y,520,530,"/m/085jw,/m/0l14l2","['instrumental', 'vocalisation', 'male voice speaking', 'shell trumpet', 'hindu rituals', 'hindu puja', 'bengali pujo', 'chanting', 'conch shell', 'shell trumpet', 'dramatic music playing', 'intense music', 'cymbal riff', 'synthesiser harmony', 'indian language', 'bengali', 'om chant', 'women chanting']","This music is instrumental. The tempo is medium with a dramatic, intense and suspenseful synthesiser arrangement, cymbal riff and conch shell sound. The music is a background score for a Bengali movie / TV series with a male voice giving instructions, a Hindu priest chanting Om with women joining in with the chant and vocalisations and the sound of the conch shell.",7,False,False,I6eU2qRjJ7Y.wav,0.570899248123169,1.0044137979506438
EQHrQIaQNv8,30,40,"/m/0342h,/m/04rlf,/m/06w87,/m/0fx80y","['amateur recording', 'backing track', 'slide guitar', 'tambourine', 'e-bass', 'acoustic guitar', 'slow tempo']",This file contains someone playing a slide guitar melody over a backing track. The backing-track contains an e-bass playing the footnote of an acoustic guitar strumming chords. You can hear a shaker serving as a rhythmic instrument.,6,False,True,EQHrQIaQNv8.wav,0.660723090171814,0.6898735309599822
hOSzGYKaJGE,150,160,"/m/018vs,/m/0342h,/m/04rlf,/m/0fx80y","['rock', 'low quality', 'electric guitar melody', 'smooth bass', 'shimmering shakers', 'snappy rimshots', 'soft male vocal', 'noisy', 'mono', 'cool', 'easygoing', 'groovy']","The low quality recording features a rock song that consists of an electric guitar melody, smooth bass, shimmering shakers, snappy rimshots and soft male vocals singing over it. The recording is really noisy and in mono. It sounds cool, groovy and easygoing.",4,False,False,hOSzGYKaJGE.wav,0.39563488960266113,1.326290621852774
