caption,aspect_list,tempo_tags,genre_tags,mood_tags,instrument_tags
"A male singer sings this groovy melody. The song is a techno dance song with a groovy bass line, strong drumming rhythm and a keyboard accompaniment. The song is so groovy and serves as a dance track for the dancing children. The audio quality is very poor with high gains and hissing noise.","medium tempo, ambient noises, keyboard accompaniment, groovy bass line, male singer",medium tempo,ambient noises,,"keyboard accompaniment, groovy bass line, male singer"
"The Pop song features a soft female vocal singing over sustained pulsating synth lead, mellow piano melody, sustained synth brass, punchy kick, claps. tinny wide hi hats and high pitched female vocal melody. It sounds emotional, sad, passionate and like something you would hear on a radio.","pop, sad, emotional, passionate, punchy kick, claps",,pop,"sad, emotional, passionate","punchy kick, claps"
This folk song features a male voice singing the main melody in an emotional mood. This is accompanied by an accordion playing fills in the background. A violin plays a droning melody. There is no percussion in this song. This song can be played at a Central Asian classical concert.,"slow tempo, folk music, male voice, violin",slow tempo,folk music,,"male voice, violin"
This middle eastern folk song features a male voice. This is accompanied by a string instrument called the oud playing the melody in between lines. A variety of middle-eastern percussion instruments are played in the background. A tambourine is played on every count. A darbuka plays a simple beat. This folk song can be played in a movie scene set in a Moroccan market.,"moderate tempo, folk song, male voice",moderate tempo,folk song,,male voice
This is an R&B/soul music piece. There is a male vocalist singing melodically and in a sensual manner over multiple tracks. The melody of the beat is provided by a string sample. There is a strong bass sound in the piece. The rhythm is provided by a groovy electronic drum beat. There is an urban feel to this piece. It could be used in the soundtrack of a TV series where two characters are sharing intimate moments.,"groovy, soul, r&b, sensual, electronic drums, male vocal",groovy,"soul, r&b",sensual,"electronic drums, male vocal"
"A male voice narrates a monologue to the rhythm of a song in the background. The song is fast tempo with enthusiastic drumming, groovy bass lines,cymbal ride, keyboard accompaniment ,electric guitar and animated vocals. The song plays softly  in the background as the narrator speaks and burgeons when he stops. The song is a classic Rock and Roll and the narration is a Documentary.","medium fast tempo, groovy bass lines, blues, male vocalist, electric guitar","medium fast tempo, groovy bass lines",blues,,"male vocalist, electric guitar"
"A children’s choir sings this devotional melody. The song is medium tempo with a steady bass line, drumming rhythm and clapping percussion. The song is black gospel choral music played in front of a live congregation. The audio quality is very poor.","medium tempo, meditative, inspiring, keyboard harmony, groovy bass line, steady drumming rhythm",medium tempo,,"meditative, inspiring","keyboard harmony, groovy bass line, steady drumming rhythm"
"This is a Hindustani classical music piece. There is a harmonium playing the main tune. A bansuri joins in to play, supporting a melody every now and then. The rhythmic background consists of the tabla percussion and the electronic drums. The atmosphere of the piece is joyful.","upbeat, joyful, electronic drums",upbeat,,joyful,electronic drums
A synth pad is playing a drone sound in the lower mid range. Cymbals are creating atmosphere while a flute/string/brass sound is playing a melody. The whole recording is full of reverb. This song may be playing in a forest documentary.,"slow tempo, cinematic, calming",slow tempo,cinematic,calming,
"This clip is an electronic guitar instrumental. The tempo is fast with a vigorous, lively electric guitar lead without any instrumentation. The music is rapid,controlled, intense and vigorous with immense control and dexterity with the instrument.","fast tempo, rock, hard rock, intense, electric guitar",fast tempo,rock,"hard rock, intense",electric guitar
This is a drum & bass music piece. There is a constantly repeating hollering sample accompanied by rapid turntable scratching. A synth sound can be heard playing an ominous tune. The rhythmic background consists of a fast-tempo electronic drum beat. The atmosphere is energetic. This piece could be used in the soundtrack of a car racing game. It could also be playing at nightclubs during early-2000s themed parties.,"upbeat, electronic dance music, energetic, eerie, electronic drums",upbeat,electronic dance music,"energetic, eerie",electronic drums
"Someone is playing a guitar-like instrument in a tremolo fashion along with someone playing a melody on a harp along with a bass playing the root note. A male voice is singing, sounding sad and sensitive. A backing voice that seems to be female is singing along, providing harmonies. This song may be playing in a dance performance.","slow tempo, sad, bass, male voice singing",slow tempo,,sad,"bass, male voice singing"
An acoustic drum is playing a simple rock groove with some drum fills on the toms and snare along with a distorted e-bass and e-guitar playing the same line. Panned to the right side of the speaker you can hear a piano sound playing a little melody. A female voice is singing a happy sounding melody while male backing voices are supporting her. This song may be playing sitting in your room enjoying being at home alone.,"uptempo, rock, acoustic drums, e-bass",uptempo,rock,,"acoustic drums, e-bass"
"The  recording features a rock song that consists of flat male vocal singing over sustained and arpeggiated electric guitar melodies, followed by snappy rimshots, soft kick, shimmering hi hats and groovy bass guitar. It sounds emotional and easygoing.","rock, emotional, flat male vocal",,rock,emotional,flat male vocal
"The  recording features a R&B song playing on a speaker, judging by the reverberant and boomy sound of it. The song consists of passionate male vocal singing over shimmering hi hats, claps, groovy bass and ""4 on the floor"" kick pattern, It sounds passionate, like something you would dance to with your partner.","r&b, passionate, groovy bass, passionate male vocal, claps",,r&b,passionate,"groovy bass, passionate male vocal, claps"
"This is a country music piece. There is a fiddle playing the main melody. The acoustic guitar and the electric guitar are playing gently in the background. The song has a slow tempo. The atmosphere is sentimental. This piece can be used in the soundtrack of an American drama movie, especially during the scenes where the feeling of longing is emphasized.","slow tempo, country music, sentimental, acoustic guitar, electric guitar",slow tempo,country music,sentimental,"acoustic guitar, electric guitar"
"The  recording features a cover of a rock song that consists of an electric guitar solo melody played over playback instrumental. The instrumental features a punchy kick and snare hits, soft cymbals and smooth bass. It sounds passionate, even though the recording is muffled and noisy, as it was probably recorded with a phone.","rock, passionate, punchy snare, punchy kick",,rock,passionate,"punchy snare, punchy kick"
This is a lullaby that features a main melody made with a xylophone that has a bright sound. A sustained piano synth creates a dreamy and sleepy ambience sound. A subtle cello plays single chords that bounce from one beat to the next. This is a song a baby could fall asleep to.,"slow tempo, nostalgic, dreamy, bass guitar, cello",slow tempo,,"nostalgic, dreamy","bass guitar, cello"
"The  recording features a compilation of rock songs and it consists of punchy kicks, wide electric guitar melodies, distorted bass guitar, energetic crash cymbals, shimmering hi hats and harmonizing male vocals singing over it. It sounds energetic.","rock, energetic, punchy kick",,rock,energetic,punchy kick
"The  recording features a flat male vocal singing over acoustic rhythm guitar chords, after which that same vocal is talking. The song sounds passionate, while the recording, overall, is noisy and in mono.","country, passionate, flat male vocal",,country,passionate,flat male vocal
"The  recording features a rock song instrumental that consists of shimmering hi hats, punchy snare, groovy bass guitar, acoustic rhythm guitar in the left channel and electric guitar chord progression in the right channel of the stereo image. It sounds energetic and addictive.","rock, energetic, punchy snare, groovy bass",,rock,energetic,"punchy snare, groovy bass"
This is an amateur recording of a dance performance over a latin dance music piece in the style of zumba. There is a female dance instructor shouting directions to the dancers. There is a male vocalist singing melodically in the background piece. A strong bass and a loud electronic drum beat can be heard very distinctly. The atmosphere is energetic. The quality of the recording is quite poor.,"latin dance music, energetic, female voice, male vocal",,latin dance music,energetic,"female voice, male vocal"
Digital drums are playing a four on the floor rhythm with a kick on every beat along with a bassline and a keyboard sound playing short rhythmic chords and a e-guitar playing a simple melody along. A male voice is singing in a higher key. This song may be playing at a folkfest.,"uptempo, pop, male voice singing, bass, e-guitar, digital drums",uptempo,pop,,"male voice singing, bass, e-guitar, digital drums"
"This song is a vigorous metal instrumental. The tempo is fast with intense drumming,  fiery electric guitar riff, amplified guitar rhythms and energetic keyboard accompaniment. The music is energetic, aggressive, youthful, spirited, goth, intense,psychedelic and trance like. This instrumental is Hard Rock/Metal.","fast tempo, trance, trap, psychedelic, hard rock, energetic, intense",fast tempo,"trance, trap","psychedelic, hard rock, energetic, intense",
This is an instrumental sitar music piece. The sitar is being played at a medium-to-high range. There is a calming and relaxing atmosphere to this piece. This piece can be used in the background of a meditation video. It could also be played during a meditation session at a course.,"meditation, calming, no singer",,meditation,calming,no singer
This slow ballad features a female voice singing the main melody. This is accompanied by a repetitive piano melody. The bass plays the root notes of the chords in staccato style in eighth note patterns. Synth horns play in the background at different pitches. The song has an ambient and ethereal feel. The mood of the song is haunting. This song can be played in a sad scene in a movie.,"slow tempo, ambient sounds, female voice, bass, no percussion",slow tempo,ambient sounds,,"female voice, bass, no percussion"
"Male singers sing this vocal harmony. The tempo is medium with a steady drumming rhythm, various percussion tones, keyboard accompaniment, steady bass line and tambourine percussion. The song is soothing and romantic. The song is a retro pop hit.","medium tempo, groovy music, romantic, soothing, inspiring, passionate, keyboard accompaniment, steady drumming rhythm","medium tempo, groovy music",,"romantic, soothing, inspiring, passionate","keyboard accompaniment, steady drumming rhythm"
"This audio clip is an electronic instrumental of two different tracks with medium fast tempo. The first tempo has an amplified piano playing an emphatic harmony along with digital drums. The second track has emphatic digital drums and electronic /synthesised music arrangement. Both the tracks are melodious, pleasant, harmonic, futuristic, captivating and engaging with a dance groove.","dance groove, electronic music, ambient, electro pop, dance pop, keyboard harmony",dance groove,"electronic music, ambient, electro pop, dance pop",,keyboard harmony
