fname,ytid,aspect_list,caption_ground_truth,caption_writing,caption_summary,caption_paraphrase,caption_attribute_prediction,pseudo_attribute,is_crawled,author_id,start_s,end_s,audioset_positive_labels,is_balanced_subset,is_audioset_eval,filename,clap_score,fad_score
[X2gHQb5ubco]-[280-290],X2gHQb5ubco,"['female singer' 'opera singer' 'opera hall' 'rhythm section'
 'philharmonic orchestra' 'poor audio quality' 'composer' 'conductor'
 'operatic theme' 'high pitched vocals' 'bad audio quality' 'song ending'
 'dramatic finish' 'building tension' 'climactic'
 'string section crescendo' 'movie soundtrack' 'medium tempo']",A female opera singer sings this climatic high pitched finish. The song is medium tempo with a string section accompaniment and a rhythm Section. The song is dramatic and high on adrenaline. The audio quality is very poor.,"This medium tempo opera-esque song features a female lead singer with high pitched vocals, a dramatic finish with building tension and a climactic, string section crescendo. Accompanied by a rhythm section and the grandeur of a philharmonic orchestra, the poor audio quality adds a vintage movie soundtrack vibe to the work of the talented composer and conductor, with an operatic theme present throughout, despite the bad quality.","A dramatic and climactic medium tempo song, featuring a female opera singer with high pitched vocals, accompanied by a rhythm section, a philharmonic orchestra, and a string section crescendo, set in an opera hall, with an operatic theme, under the direction of a composer and a conductor, with a movie soundtrack feel and a building tension that leads to a dramatic finish, despite the bad audio quality of the recording.","A female opera singer performs with a philharmonic orchestra and rhythm section in a grand opera hall, featuring a composer and conductor, set to a dramatic operatic theme with high pitched vocals and building tension that leads to a climactic string section crescendo and dramatic finish, despite the poor audio quality, making it a perfect addition to any movie soundtrack.","In this operatic-themed song, a female singer with a powerful vocal range stands at the front of an orchestra that includes a philharmonic and a string section crescendo. The medium tempo rhythm section creates a building tension that leads to a dramatic finish. The operatic themes are beautifully complemented by the composer's orchestral arrangement, and at the helm of it all, the conductor ensures a climactic ending. Unfortunately, the poor audio quality detracts from what could have been a standout movie soundtrack. Despite this drawback, the high pitched vocals and the song ending make it a memorable performance in the grand opulence of an opera hall.",['orchestral arrangement' 'vocal range'],True,1,280,290,"/m/04rlf,/m/05lls,/m/0ggq0m",False,False,X2gHQb5ubco.wav,0.5624263882637024,1.1754658705193237
[1Is1xfDjZrw]-[30-40],1Is1xfDjZrw,"['rockballad' 'male voices talking' 'background music' 'acoustic drums'
 'e-bass' 'acoustic piano' 'organ' 'slower tempo']",A deeper male voice is talking for a moment before changing to another male voice talking about something. In the background you can hear a professional recording containing an e-bass playing single long notes along with an organ and an acoustic piano playing chords in the midrange. An acoustic drum is holding a simple beat in the background. This song may be playing in a gospel church band.,"This emotional rock ballad features haunting male voices talking over a backdrop of atmospheric background music with the perfect blend of acoustic drums, e-bass, acoustic piano, and organ, all coming together to create a mesmerizing slower tempo.","A male vocal rock ballad featuring acoustic drums, e-bass, acoustic piano, and organ in slower tempo.","A slow tempo rock ballad with the melodic voices of male speakers, accompanied by acoustic drums, e-bass, acoustic piano, and organ creating a beautiful background music.",This rock ballad features male voices talking in the background over a slow tempo. The acoustic drums and e-bass provide a solid rhythm section while the acoustic piano and organ add depth to the melody. The addition of a guitar solo and string section further enhance the emotional intensity of the song.,['guitar solo' 'string section'],True,6,30,40,"/m/04rlf,/m/09x0r,/t/dd00034",False,False,1Is1xfDjZrw.wav,0.5929244756698608,0.8616109377342895
[Nlg8AbWRV_c]-[30-40],Nlg8AbWRV_c,"['low quality' 'synth pad chords' 'mellow arpeggiated piano melody' 'soft'
 'emotional']","The low quality recording features synth pad chords, followed by mellow arpeggiated piano melody. It sounds soft and emotional.","This song features a low quality production style with emotive, mellow arpeggiated piano melodies and soft synth pad chords, creating a truly emotional listening experience.","The song features a low quality, synth pad chords and mellow arpeggiated piano melody creating a soft, emotional atmosphere.",Experience a gentle wave of emotions with the soft and mellow melody of arpeggiated piano complemented by the low quality synth pad chords in this emotional masterpiece.,"This song features low quality production with synth pad chords and a mellow arpeggiated piano melody. The vocals are echoey and distant, while a guitar plays in the background with a filtered drum beat. The overall vibe is soft and emotional.",['echoey vocals' 'distant guitar' 'filtered drums'],True,4,30,40,"/m/02v2lh,/m/04rlf",False,False,Nlg8AbWRV_c.wav,0.2733183801174164,1.1909516340691284
[ZocCGcJcGJE]-[30-40],ZocCGcJcGJE,"['low quality' 'wide high pitched synth pad' 'wide low sustained strings'
 'thunderstruck sound effect' 'male grunting sound effect'
 'crowd yelling sound effect' 'suspenseful' 'intense' 'movie']","The low quality recording features a wide high pitched synth pad and wide low, sustained strings chords playing in the background, after which there is a thunderstruck sound effect, followed by male grunting and crowd yelling sound effects. It sounds suspenseful and intense - like a movie scene would.","This suspenseful and intense movie song features low-quality audio production and a wide high-pitched synth pad, combined with wide low-sustained strings, thunderstruck and male grunting sound effects, and a crowd yelling sound effect to create an overall feeling of excitement and tension.","The song is a low quality intense movie soundtrack featuring a wide high pitched synth pad, wide low sustained strings, thunderstruck sound effect, male grunting sound effect, and crowd yelling sound effect that creates a suspenseful atmosphere.","This suspenseful and intense movie score features low quality synth pads and wide, sustained strings amidst thunderstruck and male grunting sound effects, all rounded out with the added ambiance of a lively crowd of yelling fans.","With its low quality recording, thunderstruck sound effect and male grunting sound effect, this suspenseful and intense track paints a scene straight out of a movie. Wide high pitched synth pads and low sustained strings add to the eerie atmosphere while the pulsing bass and aggressive drums keep the tension high. The crowd yelling sound effect brings the listener right into the middle of the action, making it impossible to turn away before the climactic ending.",['pulsing bass' 'aggressive drums' 'eerie piano'],True,4,30,40,"/m/04rlf,/t/dd00037,/t/dd00129",False,False,ZocCGcJcGJE.wav,0.45169681310653687,1.2832593208748535
[UDTsCTLkZzc]-[90-100],UDTsCTLkZzc,"['electro' 'low quality' 'dj scratching' 'flat male vocal'
 'synth lead melody' 'punchy kick' 'claps' 'boomy bass' 'energetic'
 'reverberant metallic impact' 'groovy']","The low quality recording features an electro song being scratched by a DJ. The song consists of synth lead melody, punchy kick, claps, boomy bass and reverberant metallic impacts. It sounds groovy and energetic.","This electro track features a low quality production with dj scratching and a flat male vocal, paired with a synth lead melody, punchy kick, claps, boomy bass, and a reverberant metallic impact to create an energetic and groovy vibe.","An energetic electro song with a groovy synth lead melody, punchy kick, boomy bass, and reverberant metallic impact, accompanied by low quality flat male vocal, claps, and dj scratching.","Get ready to bop along to this electrifying track, complete with a low-quality feel and wicked DJ scratching that perfectly complements the flat male vocals and groovy synth lead melody. The punchy kick and claps will have you moving your feet, while the boomy bass and reverberant metallic impact give the song a unique edge. With an energetic vibe, this track is guaranteed to make you want to hit the dance floor.","This electro track features a low quality production and a flat male vocal accompanied by a synth lead melody. The punchy kick and claps create an energetic and groovy rhythm, while the boomy bass adds weight to the mix. The dj scratching and reverberant metallic impacts give an edgy feel to the track, and the added heavy distortion and wobbling bassline create a dirty, gritty atmosphere. Bright hi-hats top off the production, making this a must-hear for any electro fan.",['heavy distortion' 'wobbling bassline' 'bright hi-hats'],True,4,90,100,"/m/01hgjl,/m/02lkt,/m/03mb9,/m/04rlf",False,False,UDTsCTLkZzc.wav,0.44041433930397034,1.5468000656563476
[BurGML_ZqSA]-[100-110],BurGML_ZqSA,"['wireless doorbell sound' 'high pitch melody' 'chiming sound'
 'no instruments' 'no voices' 'moderate tempo' 'simple melody']",This sound is of a doorbell. It is playing a high pitched melody with a chiming sound. There are no other instruments in this song. There are no voices in this song. This sound is similar to what you would find in a music box.,"This instrumental track features a delightful high-pitch melody with a chiming wireless doorbell sound that creates a simplistic yet charming ambiance, all while maintaining a moderate tempo without any additional instrumentation or vocals.","A simple, wireless doorbell-inspired melody is played in high-pitch with chiming sounds on a moderate tempo without the use of any instruments or voices.","Experience the tranquil serenity of a gentle chime soundscape with a wireless doorbell-inspired high-pitched melody, played in a modulated tempo, without any intrusive instruments or vocals, to elevate your sense of simple pleasure.","This song is a minimalist production with a simple, high pitch melody reminiscent of a wireless doorbell sound. The chiming sound underscores the repetitive beat, while there are no instrumentals or voices to distract from the moderately paced, simple melody.",['minimalist production' 'repetitive beat'],True,0,100,110,"/m/0395lw,/m/03wwcy,/m/07r67yg",False,False,BurGML_ZqSA.wav,0.35914790630340576,1.4390581137139038
[vDmUlgsDOP4]-[170-180],vDmUlgsDOP4,['rock' 'e-guitar' 'acoustic drums' 'keys' 'uptempo' 'uplifting energy'],This audio contains a drum playing with a lot of toms. A distorted e-guitar is playing a solo melody. In the background panned to the right side of the speakers you can hear a keyboard playing minor chords in the higher mid-range. This song may be playing while sitting in your room dancing for yourself.,"Get ready to rock out with an electrifying blend of e-guitar, acoustic drums, keys, and an uptempo beat, all coming together to create an unstoppable wave of uplifting energy in this explosive song.","The electrifying rock song with e-guitar, acoustic drums, keys, and an uptempo rhythm delivers a powerful and uplifting energy.","This electrifying rock anthem features a dynamic interplay between riveting e-guitar riffs, driving acoustic drums, and soulful keys, creating an uplifting energy that propels the uptempo groove forward.","This electrifying track features e-guitar riffs and acoustic drums with a strong bass guitar foundation, accompanied by keys that add an uplifting energy to the uptempo beat. The soaring vocals top it all off with a powerful message of hope and perseverance.",['bass guitar' 'vocals'],True,6,170,180,"/m/04rlf,/t/dd00036",False,False,vDmUlgsDOP4.wav,0.610461413860321,0.9060607439476684
[je1amtXOKF4]-[140-150],je1amtXOKF4,"['low quality' 'sustained strings melody' 'mellow arpeggiated harp melody'
 'spooky' 'haunting' 'emotional' 'thriller']","The low quality recording features a sustained strings melody over which there is a mellow arpeggiated harp melody being played. It sounds spooky, haunting and emotional - like something you would hear in thriller mystery movies.","Drawing inspiration from classic horror soundtracks, this spine-tingling thriller featuring a low quality, sustain-heavy strings melody coupled with a mellow arpeggiated harp melody creates a spooky and haunting atmosphere that's sure to evoke a range of spine-tingling emotions.","A haunting and emotionally charged thriller with a sustained strings melody and mellow arpeggiated harp melody, albeit with low audio quality.","This spine-chilling and emotive track features a sustained strings melody, complemented by a haunting, mellow arpeggiated harp melody, making it the perfect score for a thrilling and eerie moment in a film or TV show, despite its low quality production.","With a low quality, sustained strings melody and mellow arpeggiated harp melody, this spooky and haunting thriller evokes deep, emotional reactions. Creepy piano chords and dramatic drum hits build suspense while whispered vocals add an eerie touch.",['creepy piano chords' 'dramatic drum hits' 'whispered vocals'],True,4,140,150,"/m/04rlf,/m/0l14gg,/t/dd00033",False,False,je1amtXOKF4.wav,0.37364447116851807,1.2154816872078613
[2SenLjPbGzU]-[30-40],2SenLjPbGzU,"['low quality' 'pop' 'wide tinny percussions' 'punchy 808 bass'
 'groovy synth keys' 'passionate male vocal' 'background male vocals'
 'repetitive synth lead melody' 'groovy' 'addictive' 'exciting' 'claps'
 'shimmering hi hats']","The low quality recording features a pop song that consists of a passionate male vocal, alongside background male vocals, singing over punchy 808 bass, claps, shimmering hi hats, wide tinny percussion, repetitive synth lead melody and groovy synth keys melody. It sounds groovy, addictive and exciting - like something you would hear in a club.","Get lost in the groovy and addictive beat of this low quality pop track, featuring wide tinny percussions and punchy 808 bass that perfectly complement the repetitive synth lead melody and groovy synth keys, all while a passionate male vocal and background male vocals add an exciting layer, along with the perfectly placed claps and shimmering hi hats.","A low quality pop song with wide tinny percussions, punchy 808 bass, groovy synth keys, passionate male and background vocals, a repetitive synth lead melody, and exciting claps and shimmering hi hats that create an addictive, groovy vibe.","Experience the captivating sound of a low-fi pop hit with wide tinny percussions and a punchy 808 bass, accentuated by groovy synth keys and a passionate male vocal accompanied by soothing background male vocals; featuring a repetitive, addictive synth lead melody, groovy beats, exciting claps and shimmering hi hats that keep you dancing throughout the night.","This pop hit is groovy and addictive with wide tinny percussions and a punchy 808 bass. The synth keys provide an exciting and repetitive lead melody while the claps and shimmering hi hats keep the upbeat tempo going. The passionate male vocal is accompanied by background male vocals creating a memorable and catchy chorus. The groovy synth keys and groovy, energetic drums make this song an instant favourite.",['catchy chorus' 'upbeat tempo' 'energetic drums'],True,4,30,40,"/m/04rlf,/m/06j64v,/m/06j6l,/m/0ggx5q",False,False,2SenLjPbGzU.wav,0.40866613388061523,0.912879813333197
[89eBh_Djflw]-[240-250],89eBh_Djflw,"['low quality' 'noisy' 'mono' 'boogie' 'cover'
 'funky electric guitars melodies' 'passionate male vocal' 'passionate'
 'groovy' 'funky']","The low quality recording features a cover of a boogie song sung by a passionate male vocalist, followed by funky electric guitar melodies. It sounds passionate, groovy, funky and the recording is in mono and noisy.","This song is a low quality, noisy, mono boogie cover, enriched with funky electric guitars melodies and a passionate male vocal, creating a passionate, groovy and funky atmosphere.","This song is a low-quality, noisy, mono cover with funky electric guitar melodies, passionate male vocals, and groovy, funky boogie vibe.","The groovy and funky cover song reverberates with low quality and noisy mono production, but is uplifted by passionate male vocals and funky electric guitar melodies.","This funky track is a cover of a classic boogie tune, featuring noisy and low quality recordings that add to its raw and gritty charm. The mono mix gives the groove a vintage feel, but the funky electric guitar melodies and thumping bassline keep things fresh and modern. A soulful backup vocal section adds depth to the passionate male lead vocal, which drips with emotion and groove. The wah-wah guitar adds a touch of funk to the already groovy rhythm section. Overall, this is a passionate and funky tune that will get you moving and grooving!","['rhythm section' 'soulful backup vocals' 'wah-wah guitar'
 'thumping bassline']",True,4,240,250,"/m/015lz1,/m/02rr_,/m/0342h,/m/04rlf,/m/04szw,/m/07m2kt,/m/0fx80y,/t/dd00125",False,False,89eBh_Djflw.wav,-0.039099205285310745,1.6450722700554565
