id,aspect_list,prediction,__index_level_0__,filename,clap_score,fad_score
3fb637c9f33bb50ab28ae9f33cb47013,"['folk', 'fun', 'male vocalist', 'soft']","This acoustic-driven folk tune features a male vocalist delivering heartfelt lyrics in a gentle, soothing tone over a softly strummed guitar accompaniment. Subtle fiddle embellishments add warmth without overpowering the intimate atmosphere. A lilting waltz-like rhythmic pattern provides a sense of playful levity, offset by delicate piano arpeggios adding texture beneath. Dynamics range from quiet contemplation to whispered harmonies, creating a cozy, uplifting feel perfect for a warm afternoon stroll.",21,3fb637c9f33bb50ab28ae9f33cb47013.wav,0.5375240445137024,0.8933150077240357
4a937b026d7a33bfe78285e2055467ae,"['emotional', 'male voice singing', 'melancholic', 'mellow', 'sad', 'slow tempo', 'soft']","This melancholic ballad features a slow-paced melody sung by a solo male vocalist in a soft, heart-wrenching tone. Muted acoustic guitar strumming provides a subtle accompaniment, while a minimalist drum pattern adds gentle emphasis on key moments. Soothing piano arpeggios fill in the background, creating a somber atmosphere. Vocal reverb and reined-in dynamics emphasize emotional vulnerability, heightening the sense of sadness and longing conveyed through this intimate, introspective performance.",237,4a937b026d7a33bfe78285e2055467ae.wav,0.5352108478546143,1.0811275744812379
cc3b424a01d85da322bdc628e8c66cf0,"['classical music', 'fun', 'keyboard', 'medium tempo', 'moderate tempo', 'no voices', 'rock']","This instrumental classical rock piece features a moderate-paced piano-driven melody accompanied by pulsing synthesizers and driving electric guitar riffs creating a lively atmosphere. A prominent bass line underscores the rhythmic foundation while precise drumming propels the energetic movement. As the intensity builds, soaring keyboard arpeggios and searing solos inject bursts of virtuosity into this dynamic performance. The overall effect is an exhilarating blend of classical technique and hard-driving rock energy.",240,cc3b424a01d85da322bdc628e8c66cf0.wav,0.5758488178253174,0.9856737161056885
cfa6a9944baf7b1288ccfa8c002cdb6f,"['calming', 'flat male vocal', 'happy', 'orchestral']","This serene orchestral piece features a soothing flat male vocals delivery accompanied by lush strings section playing legato arpeggios in major keys creating a happy atmosphere. Gentle woodwind passages complement the warm piano accompaniment while subtle horns provide background texture adding depth without overpowering the gentle lead voice. Dynamics shift from pianissimo to mezzo-forte throughout, maintaining a tranquil ambiance evoking feelings of contentment and peace.",160,cfa6a9944baf7b1288ccfa8c002cdb6f.wav,0.5337951183319092,1.1928405070679078
c68355d8a345ac372073e6eb2711c684,"['clapping', 'folk', 'fun', 'groovy bass', 'happy', 'hypnotic', 'pop', 'rock', 'syncopated snare']","This upbeat folk-pop rock track features infectious claps and driving beats from the start, setting off a groovy bassline that propels the catchy hook forward. Syncopated snares add an energetic edge while guitars chime in with bouncy chord progressions. A sing-along chorus erupts, hypnotizing listeners with its carefree vibe and happy energy. Throughout the verse, percussion is prominent yet subtle, building momentum for another lively bridge before returning to the euphoric main theme.",411,c68355d8a345ac372073e6eb2711c684.wav,0.61403888463974,0.832525243796576
e694cb61e475ac744596a7ba0a91c650,"['bass guitar', 'electric guitar', 'emotional', 'male vocal', 'medium tempo', 'trance']","This mid-tempo trance track features driving electric guitars providing pulsing arpeggios beneath a prominent bassline. A male vocalist conveys emotional intensity through soaring melodies over the steady beat. Dynamics shift from quiet introspective moments to anthemic crescendos, emphasizing heartfelt delivery. Atmospheric synths subtly enhance the mood while maintaining focus on the rhythmic interplay between drums, bass, and guitars in this hypnotic electronic dance piece. Harmonically rich chords build tension before resolving into euphoric climaxes.",178,e694cb61e475ac744596a7ba0a91c650.wav,0.5820634961128235,1.0186267996208558
bd064ff3601fb1815b18b5fdf836c5d7,"['groovy', 'percussion', 'pop', 'rock', 'slow tempo', 'strings']","This slow-paced pop-rock track features a groovy, hypnotic vibe courtesy of prominent percussion elements including tambourine and shaker sounds which provide a steady foundation beneath lush string arrangements consisting of soaring violins and subtle cellos adding depth and texture to the overall soundscapes. A mix of acoustic and electric guitars provides rhythmic interest while a catchy bassline underscores the groove-driven beat creating a dynamic interplay among instruments resulting in a captivating blend of styles.",126,bd064ff3601fb1815b18b5fdf836c5d7.wav,0.6500464677810669,1.0462603474037537
9331e2b96b00dbce29cb3b10d1a62d0c,"['electric guitar', 'medium tempo', 'romantic', 'sentimental']","This romantic ballad features arpeggiated electric guitar chords played in a slow-bending vibrato style, evoking a sentimental atmosphere. A medium-tempo waltz rhythm underscores the emotional lyrics, accompanied by lush piano harmonies and subtle string section textures. Soft reverb-drenched vocals convey longing, supported by minimal drum patterns emphasizing introspective moments. Gradual crescendos swell from hushed intimacy to soaring climaxes, creating a sense of yearning resolution.",13,9331e2b96b00dbce29cb3b10d1a62d0c.wav,0.563317060470581,1.0977175140755067
a6efbb6ce6423197861a52bcad03577b,"['ambient', 'dance groove', 'eerie', 'electro pop', 'electronic music', 'fast tempo', 'techno', 'upbeat']","This electro-pop dance track pulses with an eerie energy, its fast-paced techno beat propelling listeners forward at breakneck speed. A driving bassline underscores a hypnotic synthesizer riff, while pulsing drum machines conjure an air of tension. As melodies dart through the mix, atmospheric sound design swells evoke a sense of unease, perfectly complemented by icy vocals cutting through the din, delivering the infectious hook in shrill clarity amidst the chaotic rhythms and distorted beats.",109,a6efbb6ce6423197861a52bcad03577b.wav,0.5127612352371216,1.177702953852881
fe5202ed78c03304a713e52733f218e8,"['cheerful', 'percussion', 'uptempo']","This up-tempo track bursts forth with infectious percussion-driven energy, its cheerful vibe immediately palpable from the opening beat. Bright handclaps and lively congas propel the rhythm forward, underpinned by driving snare drums and dynamic basslines that oscillate between syncopated rhythms. A lilting guitar line weaves through the arrangement, punctuated by gleeful horns and layered vocal harmonies that amplify the overall sense of joyous momentum.",136,fe5202ed78c03304a713e52733f218e8.wav,0.6107025146484375,1.0273528004066834
3af8cd1b82ad70e92b1c68339992c504,"['acoustic drums', 'alternative rock', 'medium tempo', 'pop', 'rock', 'upbeat']","This upbeat alternative rock track is driven by acoustic drumming patterns and a medium-paced tempo, propelling the catchy pop-infused hooks forward. Crunching electric guitars and pulsating basslines provide a dynamic foundation for the verse, giving way to anthemic choruses marked by soaring vocal melodies and layered harmonies. A bright snare crack defines the rhythmic framework, while subtle reverb adds depth to the overall soundscapes.",61,3af8cd1b82ad70e92b1c68339992c504.wav,0.5507692098617554,1.054571678675879
2bdd1856fa8df31784221c63f42e100b,"['energetic', 'exciting', 'groovy', 'groovy bass', 'nostalgic']","This upbeat track bursts forth with infectious grooviness, propelled by a prominent, bouncy groove-driven beat and a catchy melodic hook that showcases a nostalgic nod to classic funk influences. Pulsating guitar riffs and a syncopated drum pattern fuel the energetic vibe, while a thumping, fuzz-toned bassline underscores the excitement. As the song builds towards its climax, a soaring horn section adds an extra layer of depth and nostalgia to this feel-good anthem.",76,2bdd1856fa8df31784221c63f42e100b.wav,0.6192179322242737,1.2754492664711365
937136eacb91c560290fdeb484f77aa6,"['emotional', 'energetic', 'exciting', 'fast tempo', 'female singer', 'keyboard harmony', 'male singer', 'passionate', 'pop', 'rock']","This high-energy pop-rock track bursts forth with driving guitar riffs and pounding drums, setting the stage for a dynamic vocal performance by both male and female singers in unison. The keyboard harmonies weave intricate patterns beneath the emotional duet's soaring melodies, building tension before exploding into a thrilling chorus marked by searing guitars and pulsating basslines, showcasing the genre-bending fusion of catchy hooks and raw energy. The passionate vocals convey urgency and intensity throughout this exhilarating ride.",136,937136eacb91c560290fdeb484f77aa6.wav,0.5515751838684082,1.0095474625007996
6976da811ecc7ea52a8e90b7ccfbaedc,"['bass', 'folk', 'heavy metal', 'jazz', 'keyboard', 'male vocal', 'medium tempo', 'moderate tempo', 'percussion']","This folk-infused heavy metal track features a prominent bassline underpinning a moderate-paced instrumental arrangement. A male vocalist delivers gritty vocals over intricate jazz-inspired keyboard patterns and driving percussion, creating a dynamic tension. Complex rhythms blend with crushing guitar riffs, generating a high-energy atmosphere reminiscent of classic metal bands but filtered through a more accessible, acoustic sensibility. Key changes add unexpected harmonic interest amidst pounding drums and chunky chords.",223,6976da811ecc7ea52a8e90b7ccfbaedc.wav,0.600480318069458,1.1615160608665833
05f2134712086ed7cbcf9b7aacbe6919,"['bass', 'calming', 'claps', 'classical', 'emotional', 'exciting', 'fun', 'happy', 'hip hop', 'joyful', 'shimmering shakers', 'uptempo']","This uptempo hip-hop track begins with a bright, shimmering beat driven by clapping hands and joyful snare hits over a pulsating bassline. A classical-inspired piano riff enters with a soaring melody, adding emotional depth amidst the fun and happy atmosphere. As the verse unfolds, lush harmonies and chimes kick in, punctuated by rhythmic hand percussion and infectious shaker rhythms. The overall effect is both exciting and calming, defying genre conventions while evoking pure joy.",188,05f2134712086ed7cbcf9b7aacbe6919.wav,0.5564422011375427,1.0842054391281495
f4fc2da0bbb3a2434724d7499dfc8e55,"['folk song', 'male singer', 'medium tempo', 'no voices', 'steady drumming']",This folk-inspired acoustic track features a male vocalist delivering heartfelt lyrics over steady mid-tempo rhythms established by prominent percussion on hand-drummed instruments like bodhran or bouzouki providing driving beat patterns in triple meter accompanied solely by lilting fiddle lines adding rustic textures to underscore simple chord progressions played on a guitar-like instrument emphasizing melancholic melodic motifs often resolving on major tonics while maintaining a consistent rhythmic drive throughout.,149,f4fc2da0bbb3a2434724d7499dfc8e55.wav,0.45233389735221863,0.9503580236809144
d724d21f22f81b3682d2b36ea060204d,"['fast tempo', 'happy', 'no voices']","This high-energy instrumental track pulsates at a frenetic pace, propelled by driving electric guitar riffs and a relentless drumbeat that careens along in triple-time time signature, injecting infectious enthusiasm into every moment. Synthesizers burst forth with bright, shimmering textures, while bass lines thump out insistent counterpoint, conjuring unbridled joy and energy.",280,d724d21f22f81b3682d2b36ea060204d.wav,0.5461905598640442,1.0617611313240418
5ac9ddba967ec6a505604c0b24e27083,"['emotional', 'keyboard harmony', 'male singer', 'pop', 'r&b', 'romantic', 'slow tempo', 'soul']","A soulful ballad featuring a male vocalist delivering heart-wrenching lyrics over lush keyboard harmonies. Soft piano arpeggios provide a gentle foundation for sweeping synth textures and subtle string pads. A minimalist drum pattern underscores the intimate atmosphere, while the vocalist's emotive delivery conveys longing. Simple yet effective basslines add depth beneath the keyboards' melancholic tones, evoking a sense of vulnerability in this romantic slow jam.",133,5ac9ddba967ec6a505604c0b24e27083.wav,0.5645711421966553,1.1694559359924683
f09fab18fda01e06ef06a99b03be91a1,"['claps', 'drums', 'energetic', 'flat male vocal', 'folk', 'funk', 'groovy', 'groovy bass', 'hip hop', 'passionate female vocal', 'punchy kick', 'punchy snare', 'rock']","This high-energy track blends folk-infused hip-hop rhythms with groovy rock undertones. Energetic clapping and driving drums propel the beat forward, punctuated by punchy kicks and sharp snares. A flat, soulful male voice delivers emotive vocals alongside a passionate, soaring female counterpart. Funk-inspired guitar riffs add depth, while a prominent, infectious groove drives the tempo forward in this genre-bending fusion.",11,f09fab18fda01e06ef06a99b03be91a1.wav,0.35158637166023254,1.1976270580665955
a24bc54c6234622627c77ca01704fc4f,"['cheerful', 'energetic', 'fast tempo', 'keyboard accompaniment', 'male vocalist']","A lively keyboard-driven track unfolds at breakneck speed, driven by pulsating synthesizers and driving drum machine beats, propelling a catchy male vocal performance through its verses and choruses. A sing-along melody bursts forth in the chorus, buoyed by bright piano arpeggios and a bouncy bassline, maintaining a relentless energy level throughout its two-minute duration, creating an infectious, euphoric atmosphere perfect for getting listeners moving.",319,a24bc54c6234622627c77ca01704fc4f.wav,0.579716145992279,1.0599538588898072
