instrument_tags,mood_tags,genre_tags,tempo_tags,aspect_list,id
punchy kick,"happy, passionate, scary, eerie, uplifting, emotional, funk","ambient sounds, dance, soulful","fast tempo, uptempo, dance groove","punchy kick, happy, passionate, scary, eerie, uplifting, emotional, funk, ambient sounds, dance, soulful, fast tempo, uptempo, dance groove",sample_0000
e-bass,fun,hip hop,rhythmic patter,"e-bass, fun, hip hop, rhythmic patter",sample_0001
"no percussion, punchy kick, electric guitar, violin, cello",chaotic,classical music,slow tempo,"no percussion, punchy kick, electric guitar, violin, cello, chaotic, classical music, slow tempo",sample_0002
"acoustic drums, shimmering shakers, male voice, male vocalist",mellow,"pop song, chill",slow tempo,"acoustic drums, shimmering shakers, male voice, male vocalist, mellow, pop song, chill, slow tempo",sample_0003
"keyboard accompaniment, shimmering cymbals, bass guitar, groovy bass, electric guitar, no voices, electronic drums, e-bass","mysterious, calming, fun, sad","classical, western classical music, electronic music, indie, electro pop, dance, rock","slow, beatboxing, rising pattern, strong drumming rhythm","keyboard accompaniment, shimmering cymbals, bass guitar, groovy bass, electric guitar, no voices, electronic drums, e-bass, mysterious, calming, fun, sad, classical, western classical music, electronic music, indie, electro pop, dance, rock, slow, beatboxing, rising pattern, strong drumming rhythm",sample_0004
"male vocalist, no voices, bass guitar",cheerful,"folk, electronic","groovy piano chords, groovy bassline, groovy rhythm, slow tempo","male vocalist, no voices, bass guitar, cheerful, folk, electronic, groovy piano chords, groovy bassline, groovy rhythm, slow tempo",sample_0005
"no singer, groovy bass line, keyboard harmony, acoustic drums","energetic, emotional, inspiring, intense","chill, latin dance music, ambient, reggae","syncopated, uptempo","no singer, groovy bass line, keyboard harmony, acoustic drums, energetic, emotional, inspiring, intense, chill, latin dance music, ambient, reggae, syncopated, uptempo",sample_0006
"piano accompaniment, no percussion, steady drumming",heavy metal,"classical, meditation","medium to uptempo, groovy double bass, afrobeat, groovy","piano accompaniment, no percussion, steady drumming, heavy metal, classical, meditation, medium to uptempo, groovy double bass, afrobeat, groovy",sample_0007
"clapping, acoustic drums, keyboard",soothing,dance,"slow tempo, uptempo","clapping, acoustic drums, keyboard, soothing, dance, slow tempo, uptempo",sample_0008
"percussion, cello",dark,dance,"moderate tempo, fast tempo, medium tempo","percussion, cello, dark, dance, moderate tempo, fast tempo, medium tempo",sample_0009
"shimmering shakers, groovy bass, piano, flat male vocal",spiritual,"dance, trance",groovy synth bass,"shimmering shakers, groovy bass, piano, flat male vocal, spiritual, dance, trance, groovy synth bass",sample_0010
"male vocalist, groovy bass line, bass guitar, no voice, percussion","happy, emotional",techno,"rhythmic patter, medium tempo, groovy rhythm","male vocalist, groovy bass line, bass guitar, no voice, percussion, happy, emotional, techno, rhythmic patter, medium tempo, groovy rhythm",sample_0011
"no voices, shimmering cymbals, acoustic guitar, male vocal, claps","mysterious, happy, suspenseful, heavy metal, soft",metal,"fast tempo, medium tempo, slow","no voices, shimmering cymbals, acoustic guitar, male vocal, claps, mysterious, happy, suspenseful, heavy metal, soft, metal, fast tempo, medium tempo, slow",sample_0012
"male voice singing, shimmering shakers","scary, nostalgic, hypnotic, passionate, energetic",pop rock,dance rhythm,"male voice singing, shimmering shakers, scary, nostalgic, hypnotic, passionate, energetic, pop rock, dance rhythm",sample_0013
"punchy kick, digital drums, male voice singing","inspiring, exciting, uplifting","jazz, folk, movie music",rhythmic patter,"punchy kick, digital drums, male voice singing, inspiring, exciting, uplifting, jazz, folk, movie music, rhythmic patter",sample_0014
"male singer, e-bass","exciting, funk",hip hop,groovy bassline,"male singer, e-bass, exciting, funk, hip hop, groovy bassline",sample_0015
"flat male vocal, punchy snare, male voice singing, e-bass","emotional, eerie",classical,4 on the floor kick pattern,"flat male vocal, punchy snare, male voice singing, e-bass, emotional, eerie, classical, 4 on the floor kick pattern",sample_0016
"shimmering cymbals, keyboard harmony, cello, steady drumming, male vocal, electronic drums, orchestra","cheerful, happy, sad, weird, happy mood, suspenseful",electronic music,rhythmic,"shimmering cymbals, keyboard harmony, cello, steady drumming, male vocal, electronic drums, orchestra, cheerful, happy, sad, weird, happy mood, suspenseful, electronic music, rhythmic",sample_0017
"flute, male voice singing, passionate male vocal, male singer, percussion, orchestra, passionate female vocal, shimmering cymbals, keyboard","playful, dreamy, meditative",rock music,"slow rock, acoustic rhythm guitar chords, upbeat, medium to uptempo","flute, male voice singing, passionate male vocal, male singer, percussion, orchestra, passionate female vocal, shimmering cymbals, keyboard, playful, dreamy, meditative, rock music, slow rock, acoustic rhythm guitar chords, upbeat, medium to uptempo",sample_0018
"keyboard, male voice, groovy bass line",emotional,"rock, country",groovy,"keyboard, male voice, groovy bass line, emotional, rock, country, groovy",sample_0019
"male vocalist, bass guitar, electric guitar","sad, inspiring, epic, spiritual, aggressive","folk, western classical music, classical music, blues, electronic music",medium tempo,"male vocalist, bass guitar, electric guitar, sad, inspiring, epic, spiritual, aggressive, folk, western classical music, classical music, blues, electronic music, medium tempo",sample_0020
"punchy snare, punchy kick, e-bass, digital drums, passionate male vocal, female singer, male vocal, guitar solo","nostalgic, suspenseful, hard rock, melancholic","ambient, movie soundtrack, electro pop",medium tempo,"punchy snare, punchy kick, e-bass, digital drums, passionate male vocal, female singer, male vocal, guitar solo, nostalgic, suspenseful, hard rock, melancholic, ambient, movie soundtrack, electro pop, medium tempo",sample_0021
"female vocal, flat male vocal, bass guitar","joyful, energetic, melancholic","movie soundtrack, techno","rhythmic acoustic guitar, medium tempo","female vocal, flat male vocal, bass guitar, joyful, energetic, melancholic, movie soundtrack, techno, rhythmic acoustic guitar, medium tempo",sample_0022
male vocalist,"energetic, passionate, hypnotic, emotional, psychedelic",trap,"medium fast tempo, uptempo","male vocalist, energetic, passionate, hypnotic, emotional, psychedelic, trap, medium fast tempo, uptempo",sample_0023
"bass, cello, claps, groovy bass",passionate,"dance music, rock, electronic music, gospel","slow tempo, upbeat, syncopated rhythms, medium tempo, beat boxing, moderate tempo","bass, cello, claps, groovy bass, passionate, dance music, rock, electronic music, gospel, slow tempo, upbeat, syncopated rhythms, medium tempo, beat boxing, moderate tempo",sample_0024
"passionate male vocal, tambourine, e-bass","happy, epic",country,"distorted guitar rhythm, upbeat, moderate tempo, groovy bas slime","passionate male vocal, tambourine, e-bass, happy, epic, country, distorted guitar rhythm, upbeat, moderate tempo, groovy bas slime",sample_0025
passionate male vocal,"happy mood, passionate, harsh, melancholic","western classical music, classical music, pop rock",uptempo,"passionate male vocal, happy mood, passionate, harsh, melancholic, western classical music, classical music, pop rock, uptempo",sample_0026
"violin, groovy bass line, no percussion","sentimental, exciting, mellow, eerie","rock music, movie music",groovy synth bass,"violin, groovy bass line, no percussion, sentimental, exciting, mellow, eerie, rock music, movie music, groovy synth bass",sample_0027
"flat male vocal, shimmering shakers, male singer","energetic, happy, chaotic, positive, passionate","rock music, electronic music","beat boxing, groovy bas slime, slow tempo","flat male vocal, shimmering shakers, male singer, energetic, happy, chaotic, positive, passionate, rock music, electronic music, beat boxing, groovy bas slime, slow tempo",sample_0028
"orchestra, guitar solo, trumpets","nostalgic, sentimental, passionate, chaotic, sad, melancholic, ethereal, energetic, aggressive",rock,medium fast tempo,"orchestra, guitar solo, trumpets, nostalgic, sentimental, passionate, chaotic, sad, melancholic, ethereal, energetic, aggressive, rock, medium fast tempo",sample_0029
"flute, no percussion, cello","sentimental, cheerful, harsh","jazz, rapping","medium tempo, contemporary","flute, no percussion, cello, sentimental, cheerful, harsh, jazz, rapping, medium tempo, contemporary",sample_0030
