aspect_list,original_aspect_list,temperature,generated_tempo_tags,generated_genre_tags,generated_mood_tags,generated_instrument_tags,id
"['medium tempo', 'orchestral', 'passionate', 'passionate female vocal', 'punchy kick', 'strings']","['electronic', 'emotional', 'orchestral', 'piano']",1.0,['medium tempo'],[],['passionate'],"['passionate female vocal', 'strings', 'punchy kick']",bee996b99f47ca0e7d5b5459049a144b
"['cinematic', 'drums', 'funky', 'uptempo']","['drums', 'bass', 'funk', 'keyboard', 'pop']",0.5,['uptempo'],['cinematic'],['funky'],[],d224914aefc501e77672cc95d0be0338
"['flat male vocal', 'harsh', 'hip hop', 'passionate', 'slow']","['emotional', 'reggae', 'piano']",2.0,['slow'],['hip hop'],"['harsh', 'passionate']",['flat male vocal'],cc3df4c75e173fb9457091aff47e3065
"['calming', 'energetic', 'guitar solo', 'harsh', 'hypnotic', 'intense', 'no voice', 'rock', 'slow tempo']","['emotional', 'piano', 'classical']",0.8,['slow tempo'],['rock'],"['harsh', 'hypnotic', 'calming', 'energetic', 'intense']","['no voice', 'guitar solo']",db28d1ff496c11ac065bed54491985c4
"['ambient', 'bass', 'dance music', 'emotional', 'happy mood', 'moderate tempo', 'passionate', 'rap', 'slow tempo']","['emotional', 'jazz', 'bass', 'piano']",0.5,"['moderate tempo', 'slow tempo']","['dance music', 'ambient', 'rap']","['passionate', 'emotional', 'happy mood']",[],857e1ed4b315dd788e16467281ed956f
"['emotional', 'keyboard accompaniment', 'medium tempo', 'orchestral', 'passionate', 'passionate female vocal', 'western classical music']",[],2.0,['medium tempo'],"['western classical music', 'orchestral']","['emotional', 'passionate']","['passionate female vocal', 'keyboard accompaniment']",d1d9e7f2438919eb35a7e1757c908279
"['acoustic guitar', 'cinematic', 'orchestra', 'slow tempo', 'soothing']","['emotional', 'piano', 'classical']",0.8,['slow tempo'],['cinematic'],['soothing'],"['acoustic guitar', 'orchestra']",1a1ab166a06a42ed4a0fd3a336f9b043
"['acoustic drums', 'emotional', 'energetic', 'gospel', 'happy mood', 'jazz', 'keyboard', 'moderate tempo', 'movie music', 'sentimental', 'slow tempo', 'upbeat', 'uptempo']","['drums', 'bass', 'dance', 'funk', 'keyboard']",1.0,"['slow tempo', 'upbeat', 'moderate tempo', 'uptempo']","['jazz', 'movie music', 'gospel']","['happy mood', 'energetic', 'sentimental', 'emotional']",['acoustic drums'],e25b1c68d32f4e53f14dd379ec53e812
"['dance', 'electronic drums', 'electronic music', 'funk', 'happy', 'male vocal', 'mid tempo', 'strings', 'suspenseful']","['electronic', 'dance', 'energetic', 'piano']",0.5,['mid tempo'],['electronic music'],"['suspenseful', 'happy', 'funk']","['electronic drums', 'male vocal', 'strings']",2a4504dda7b09bcf6185c150f1f91c48
"['acoustic drums', 'electronic music', 'fast tempo', 'female singer', 'guitar', 'psychedelic', 'trumpets']",[],2.0,['fast tempo'],['electronic music'],['psychedelic'],"['trumpets', 'female singer', 'guitar', 'acoustic drums']",67ae132951cff1dae3a56e761cb22209
