caption,aspect_list,tempo_tags,genre_tags,mood_tags,instrument_tags,tempo_tags_count,genre_tags_count,mood_tags_count,instrument_tags_count,aspect_list_count
This song contains e-guitars playing melodies and rhythmic strumming that are spread to both sides of the speakers. A male voice is singing a melancholic melody in a higher key sitting in the middle of the track. This song may be playing while walking through the park while listening to this song with headphones.,"medium tempo, rock, male voice singing",medium tempo,rock,,male voice singing,1,1,1,1,3
"The R&B song features a melancholic female vocal singing over mellow piano melody, electric guitar chords, synth lead melody, groovy bass, organ keys chords, shimmering hi hats, punchy snare and soft kick hits. It sounds emotional, passionate and heartfelt.","r&b, passionate, emotional, groovy bass, punchy snare",,r&b,"passionate, emotional","groovy bass, punchy snare",1,1,2,2,5
"A female vocalist sings this spirited rap. The tempo is medium with punchy drumming and synthesiser arrangements. The song is youthful,energetic,spirited with a catchy recurring vocal riff. The song is an Electro Rap/Hip-Hop song.","syncopated, medium fast tempo, rap, dance music, electronic music, passionate, energetic, intense, female singer","syncopated, medium fast tempo","rap, dance music, electronic music","passionate, energetic, intense",female singer,2,3,3,1,9
This is a very distorted tape recording of a gospel song. A choir with a male lead vocal can be heard singing passionately. The loud volume of electric guitar and the acoustic drums can be heard in the track. This track could be used in a nightmare sequence in the  soundtrack of a horror movie.,"gospel, acoustic drums, electric guitar, male vocal",,gospel,,"acoustic drums, electric guitar, male vocal",1,1,1,3,4
"This is a bluegrass gospel piece. The multitrack male vocalist is singing religious lyrics loudly. For the melodic background, a banjo and a violin is playing the tune while a bass guitar is providing the rhythmic background. The atmosphere is hopeful. This song could be used in Christian religious social media content.","gospel, male vocal, bass guitar, violin",,gospel,,"male vocal, bass guitar, violin",1,1,1,3,4
"A female vocalist sings this soprano solo. The tempo is slow with a classic orchestral accompaniment of violin harmony, an intense incessant cello melody, brass instrument and organ. The song is an intense, emotional, beseeching, sad, and imploring classic opera .","slow tempo, classical music, passionate, emotional, ethereal, orchestra",slow tempo,classical music,"passionate, emotional, ethereal",orchestra,1,1,3,1,6
"This music is instrumental. The tempo is medium fast with an energetic electric guitar lead. The music is minimalist with no accompaniment. It is youthful, powerful, enthusiastic, controlled, engaging and intense. This music is Hard Rock/Heavy Metal.","fast tempo, rock, metal, hard rock, heavy metal, electric guitar",fast tempo,"rock, metal","hard rock, heavy metal",electric guitar,1,2,2,1,6
This song contains a digital techno drum with a kick on every beat. A sub-bass is inviting to dance along with synth pluck sounds playing a melody in a higher key along with a female voice. A very low pitched male voice sample comes in for a moment before a synth pad sound playing in the midrange comes in. This song may be playing in a techno club.,"medium to uptempo, techno, digital drums",medium to uptempo,techno,,digital drums,1,1,1,1,3
"A male vocalist sings this peppy Latin pop song.the tempo is medium with animated trumpets, keyboard harmony and percussions rhythms of bongos, congas and subtle drums. The song is muffled and there are sounds in the background of people talking, cheering, the sound of clinking, scuffling and tapping. The song is super imposed by the background sounds. This song is a latin pop song.","medium tempo, dance music, latin dance music, male vocalist, trumpets",medium tempo,"dance music, latin dance music",,"male vocalist, trumpets",1,2,1,2,5
"The low quality recording features a jazz song playing in the background while people are shoe tapping to it. The jazz song at least consists of passionate male vocal, groovy bass and brass section, since those elements are audible. It is reverberant and in mono, as it was probably recorded with a phone.","jazz, groovy bass, passionate male vocal",,jazz,,"groovy bass, passionate male vocal",1,1,1,2,3
