id,aspect_list,prediction,__index_level_0__,filename,clap_score,fad_score
3fb637c9f33bb50ab28ae9f33cb47013,"['folk', 'fun', 'male vocalist', 'soft']","This acoustic-driven folk tune features a male vocalist delivering heartfelt lyrics in a gentle, soothing tone over a softly strummed guitar accompaniment. Subtle fiddle embellishments add warmth without overpowering the intimate atmosphere. A lilting waltz-like rhythmic pattern provides a sense of playful levity, offset by delicate piano arpeggios adding texture beneath. Dynamics range from quiet contemplation to whispered harmonies, creating a cozy, uplifting feel perfect for a warm afternoon stroll.",21,3fb637c9f33bb50ab28ae9f33cb47013.wav,0.5119445323944092,0.7537912097310275
4a937b026d7a33bfe78285e2055467ae,"['emotional', 'male voice singing', 'melancholic', 'mellow', 'sad', 'slow tempo', 'soft']","This melancholic ballad features a slow-paced melody sung by a solo male vocalist in a soft, heart-wrenching tone. Muted acoustic guitar strumming provides a subtle accompaniment, while a minimalist drum pattern adds gentle emphasis on key moments. Soothing piano arpeggios fill in the background, creating a somber atmosphere. Vocal reverb and reined-in dynamics emphasize emotional vulnerability, heightening the sense of sadness and longing conveyed through this intimate, introspective performance.",237,4a937b026d7a33bfe78285e2055467ae.wav,0.36606383323669434,0.8141748872136325
cc3b424a01d85da322bdc628e8c66cf0,"['classical music', 'fun', 'keyboard', 'medium tempo', 'moderate tempo', 'no voices', 'rock']","This instrumental classical rock piece features a moderate-paced piano-driven melody accompanied by pulsing synthesizers and driving electric guitar riffs creating a lively atmosphere. A prominent bass line underscores the rhythmic foundation while precise drumming propels the energetic movement. As the intensity builds, soaring keyboard arpeggios and searing solos inject bursts of virtuosity into this dynamic performance. The overall effect is an exhilarating blend of classical technique and hard-driving rock energy.",240,cc3b424a01d85da322bdc628e8c66cf0.wav,0.5365715622901917,0.9614810314511508
cfa6a9944baf7b1288ccfa8c002cdb6f,"['calming', 'flat male vocal', 'happy', 'orchestral']","This serene orchestral piece features a soothing flat male vocals delivery accompanied by lush strings section playing legato arpeggios in major keys creating a happy atmosphere. Gentle woodwind passages complement the warm piano accompaniment while subtle horns provide background texture adding depth without overpowering the gentle lead voice. Dynamics shift from pianissimo to mezzo-forte throughout, maintaining a tranquil ambiance evoking feelings of contentment and peace.",160,cfa6a9944baf7b1288ccfa8c002cdb6f.wav,0.3565364181995392,0.9383337464665622
c68355d8a345ac372073e6eb2711c684,"['clapping', 'folk', 'fun', 'groovy bass', 'happy', 'hypnotic', 'pop', 'rock', 'syncopated snare']","This upbeat folk-pop rock track features infectious claps and driving beats from the start, setting off a groovy bassline that propels the catchy hook forward. Syncopated snares add an energetic edge while guitars chime in with bouncy chord progressions. A sing-along chorus erupts, hypnotizing listeners with its carefree vibe and happy energy. Throughout the verse, percussion is prominent yet subtle, building momentum for another lively bridge before returning to the euphoric main theme.",411,c68355d8a345ac372073e6eb2711c684.wav,0.5360085964202881,0.7920436230038852
e694cb61e475ac744596a7ba0a91c650,"['bass guitar', 'electric guitar', 'emotional', 'male vocal', 'medium tempo', 'trance']","This mid-tempo trance track features driving electric guitars providing pulsing arpeggios beneath a prominent bassline. A male vocalist conveys emotional intensity through soaring melodies over the steady beat. Dynamics shift from quiet introspective moments to anthemic crescendos, emphasizing heartfelt delivery. Atmospheric synths subtly enhance the mood while maintaining focus on the rhythmic interplay between drums, bass, and guitars in this hypnotic electronic dance piece. Harmonically rich chords build tension before resolving into euphoric climaxes.",178,e694cb61e475ac744596a7ba0a91c650.wav,0.5385552644729614,0.9211520519589633
bd064ff3601fb1815b18b5fdf836c5d7,"['groovy', 'percussion', 'pop', 'rock', 'slow tempo', 'strings']","This slow-paced pop-rock track features a groovy, hypnotic vibe courtesy of prominent percussion elements including tambourine and shaker sounds which provide a steady foundation beneath lush string arrangements consisting of soaring violins and subtle cellos adding depth and texture to the overall soundscapes. A mix of acoustic and electric guitars provides rhythmic interest while a catchy bassline underscores the groove-driven beat creating a dynamic interplay among instruments resulting in a captivating blend of styles.",126,bd064ff3601fb1815b18b5fdf836c5d7.wav,0.6476802229881287,0.9719038572644443
9331e2b96b00dbce29cb3b10d1a62d0c,"['electric guitar', 'medium tempo', 'romantic', 'sentimental']","This romantic ballad features arpeggiated electric guitar chords played in a slow-bending vibrato style, evoking a sentimental atmosphere. A medium-tempo waltz rhythm underscores the emotional lyrics, accompanied by lush piano harmonies and subtle string section textures. Soft reverb-drenched vocals convey longing, supported by minimal drum patterns emphasizing introspective moments. Gradual crescendos swell from hushed intimacy to soaring climaxes, creating a sense of yearning resolution.",13,9331e2b96b00dbce29cb3b10d1a62d0c.wav,0.30248838663101196,0.759767082009241
a6efbb6ce6423197861a52bcad03577b,"['ambient', 'dance groove', 'eerie', 'electro pop', 'electronic music', 'fast tempo', 'techno', 'upbeat']","This electro-pop dance track pulses with an eerie energy, its fast-paced techno beat propelling listeners forward at breakneck speed. A driving bassline underscores a hypnotic synthesizer riff, while pulsing drum machines conjure an air of tension. As melodies dart through the mix, atmospheric sound design swells evoke a sense of unease, perfectly complemented by icy vocals cutting through the din, delivering the infectious hook in shrill clarity amidst the chaotic rhythms and distorted beats.",109,a6efbb6ce6423197861a52bcad03577b.wav,0.3851770758628845,0.9728196230267734
fe5202ed78c03304a713e52733f218e8,"['cheerful', 'percussion', 'uptempo']","This up-tempo track bursts forth with infectious percussion-driven energy, its cheerful vibe immediately palpable from the opening beat. Bright handclaps and lively congas propel the rhythm forward, underpinned by driving snare drums and dynamic basslines that oscillate between syncopated rhythms. A lilting guitar line weaves through the arrangement, punctuated by gleeful horns and layered vocal harmonies that amplify the overall sense of joyous momentum.",136,fe5202ed78c03304a713e52733f218e8.wav,0.5436239242553711,0.9762607183789462
